Judge Identification Number,Judge Last Name,Judge First Name,Judge Middle Name,Suffix,Birth month,Birth day,Birth year,Place of Birth (City),Place of Birth (State),Death month,Death day,Death year,Place of Death (City),Place of Death (State),Gender,Race or Ethnicity,Judge Identification Number,Court Name,Court Type,President name,Party Affiliation of President,Renominating President name,Party Affiliation of Renominating President,Nomination Date Senate Executive Journal,ABA Rating,Recess Appointment date,Vice last name (predecessor),Vice first name (predecessor),Authorization legislation,Referral date (referral to Judicial Committee),Report number,Committee action,Committee action date,Hearings,Senate voice vote,Senate vote Ayes/Nays,Senate Vote Date (Confirmation Date),Commission Date,Date of Service as Chief Judge (begin),Date of Service as Chief Judge (end),Second Date of Service as Chief Judge (begin),Second Date of Service as Chief Judge (end),Retirement from Active Service,Date of Termination,Termination specific reason,Judge Identification Number,Court Name (2),Court Type (2),President name (2),Party Affiliation of President (2),Renominating President name (2),Party Affiliation of Renominating President (2),Nomination Date Senate Executive Journal (2),ABA Rating (2),Recess Appointment date (2),Vice last name (predecessor) (2),Vice first name (predecessor) (2),Authorization legislation (2),referral date (referral to Judicial Committee) (2),Report number (2),committee action (2),Committee action date (2),Hearings (2),Senate voice vote (2),Senate vote Ayes/Nays (2),Senate Vote Date (Confirmation Date) (2),Commission Date (2),Date of Service as Chief Judge (begin) (2),Date of Service as Chief Judge (end) (2),Second Date of Service as Chief Judge (begin) (2),Second Date of Service as Chief Judge (end) (2),Retirement from Active Service (2),Date of Termination (2),Termination specific reason (2),Judge Identification Number,Court Name (3),Court Type (3),President name (3),Party Affiliation of President (3),Renominating President name (3),Party Affiliation of Renominating President (3),Nomination Date Senate Executive Journal (3),ABA Rating (3),Recess Appointment date (3),Vice last name (predecessor) (3),Vice first name (predecessor) (3),Authorization legislation (3),referral date (referral to Judicial Committee) (3),Report number (3),committee action (3),Committee action date (3),Hearings (3),Senate voice vote (3),Senate vote Ayes/Nays (3),Senate Vote Date (Confirmation Date) (3),Commission Date (3),Date of Service as Chief Judge (begin) (3),Date of Service as Chief Judge (end) (3),Second Date of Service as Chief Judge (begin) (3),Second Date of Service as Chief Judge (end) (3),Retirement from Active Service (3),Date of Termination (3),Termination specific reason (3),Judge Identification Number,Court Name (4),Court Type (4),President name (4),Party Affiliation of President (4),Renominating President name (4),Party Affiliation of Renominating President (4),Nomination Date Senate Executive Journal (4),ABA Rating (4),Recess Appointment date (4),Vice last name (predecessor) (4),Vice first name (predecessor) (4),Authorization legislation (4),referral date (referral to Judicial Committee) (4),Report number (4),committee action (4),Committee action date (4),Hearings (4),Senate voice vote (4),Senate vote Ayes/Nays (4),Senate Vote Date (Confirmation Date) (4),Commission Date (4),Date of Service as Chief Judge (begin) (4),Date of Service as Chief Judge (end) (4),Second Date of Service as Chief Judge (begin) (4),Second Date of Service as Chief Judge (end) (4),Retirement from Active Service (4),Date of Termination (4),Termination specific reason (4),Judge Identification Number,Court Name (5),Court Type (5),President name (5),Party Affiliation of President (5),Renominating President name (5),Party Affiliation of Renominating President (5),Nomination Date Senate Executive Journal (5),ABA Rating (5),Recess Appointment date (5),Vice last name (predecessor) (5),Vice first name (predecessor) (5),Authorization legislation (5),referral date (referral to Judicial Committee) (5),Report number (5),committee action (5),Committee action date (5),Hearings (5),Senate voice vote (5),Senate vote Ayes/Nays (5),Senate Vote Date (Confirmation Date) (5),Commission Date (5),Date of Service as Chief Judge (begin) (5),Date of Service as Chief Judge (end) (5),Second Date of Service as Chief Judge (begin) (5),Second Date of Service as Chief Judge (end) (5),Retirement from Active Service (5),Date of Termination (5),Termination specific reason (5),Judge Identification Number,Court Name (6),Court Type (6),President name (6),Party Affiliation of President (6),Nomination Date Senate Executive Journal (6),Renominating President name (6),Party Affiliation of Renominating President (6),ABA Rating (6),Recess Appointment date (6),Vice last name (predecessor) (6),Vice first name (predecessor) (6),Authorization legislation (6),referral date (referral to Judicial Committee) (6),Report number (6),committee action (6),Committee action date (6),Hearings (6),Senate voice vote (6),Senate vote Ayes/Nays (6),Senate Vote Date (Confirmation Date) (6),Commission Date (6),Date of Service as Chief Judge (begin) (6),Date of Service as Chief Judge (end) (6),Second Date of Service as Chief Judge (begin) (6),Second Date of Service as Chief Judge (end) (6),Retirement from Active Service (6),Date of Termination (6),Termination specific reason (6),Name of School,Degree,Degree year,Name of School (2),Degree (2),Degree year (2),Name of School (3),Degree (3),Degree year (3),Name of School (4),Degree (4),Degree year (4),Name of School (5),Degree  (5),Degree year (5),Employment text field,Bankruptcy and Magistrate service
1257,Kennedy,Cornelia,Groefsema, ,8,4,1923,Detroit,MI,5,12,2014,Grosse Pointe Woods,MI,F,White,1257,"U. S. District Court, Eastern District of Michigan",USDC,Richard M. Nixon,Republican,,,09/03/1970,Well Qualified,,Machrowicz,Thaddeus M., ,09/09/1970, ,Reported With Recommendation,10/05/1970, ,Yes, ,10/06/1970,10/07/1970,1977,1979,,,,10/03/1979,Appointment to Another Judicial Position,1257,U. S. Court of Appeals for the Sixth Circuit,USCA,Jimmy Carter,Democratic,,,04/09/1979,Well Qualified,,new, ,92 Stat. 1629,04/09/1979, ,Reported With Recommendation,09/11/1979, ,Yes, ,09/25/1979,09/26/1979,,,,,03/01/1999,05/12/2014,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan,B.A.,1945,University of Michigan Law School,J.D.,1947,,,,,,,,,,"Law clerk, Hon. Harold Stephens, U.S. Court of Appeals for the District of Columbia Circuit, 1947-1948<BR>Private practice, Detroit, Michigan, 1948-1966<BR>Judge, Michigan Circuit Court, Third Judicial Circuit, 1966-1970<BR>",
1258,Kennedy,Harold,Maurice, ,8,6,1895,Brooklyn,NY,7,1,1971,New York,NY,M,White,1258,"U. S. District Court, Eastern District of New York",USDC,Franklin D. Roosevelt,Democratic,,,09/01/1944, ,,Campbell,Marcus B., ,09/01/1944, ,Reported With Recommendation,09/19/1944, ,Yes, ,09/20/1944,09/22/1944,,,,,,09/30/1952,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City College of New York,A.B.,1917,Brooklyn Law School,LL.B.,1924,Brooklyn Law School,J.D.,1925,,,,,,,"U.S. Navy lieutenant junior grade, 1917-1920<BR>Private practice, Brooklyn, New York, 1925-1944, 1952-1961<BR>Assistant attorney general, State of New York, 1938-1939<BR>U.S. attorney for the Eastern District of New York, 1939-1944",
2736,Kennedy,Henry,Harold,Jr.,,,1948,Columbia,SC, , , , , ,M,African American,2736,U. S. District Court for the District of Columbia,USDC,William J. Clinton,Democratic,,,05/15/1997,Well Qualified,,Green,Joyce Hens, ,05/15/1997, ,Reported With Recommendation,07/10/1997,6/25/1997,No,96/0,09/04/1997,09/18/1997,,,,,11/18/2011,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Princeton University,A.B.,1970,Harvard Law School,J.D.,1973,,,,,,,,,,"Private practice, Washington, D.C., 1973<BR>Assistant U.S. attorney, District of Columbia, 1973-1976<BR>Judge, Superior Court of the District of Columbia, 1979-1997","U.S. Magistrate, U.S. District Court, District of Columbia, 1976-1979"
1259,Kennedy,Thomas,Blake, ,4,4,1874,Commerce,MI,5,21,1957,Cheyenne,WY,M,White,1259,"U. S. District Court, District of Wyoming",USDC,Warren G. Harding,Republican,,,10/17/1921, ,,Riner,John A., ,10/17/1921, , ,10/24/1921, ,Yes, ,10/25/1921,10/25/1921,,,,,11/06/1955,05/21/1957,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin College, New Athens, Ohio",A.B.,1895,Syracuse University College of Law,LL.B.,1897,"Franklin College, New Athens, Ohio",A.M.,1898,,,,,,,"Private practice, Syracuse, New York, 1898-1901<BR>Private practice, Cheyenne, Wyoming, 1901-1921<BR>Referee in bankruptcy, District of Wyoming, 1903-1913, 1919-1921<BR>",
2821,Kennelly,Matthew,F., ,,,1956,Marion,IN, , , , , ,M,White,2821,"U. S. District Court, Northern District of Illinois",USDC,William J. Clinton,Democratic,,,01/26/1999,Well Qualified,,Plunkett,Paul E., ,01/26/1999, ,Reported With Recommendation,03/25/1999,3/25/1999,Yes, ,04/15/1999,04/22/1999,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Notre Dame,B.A.,1978,Harvard Law School,J.D.,1981,,,,,,,,,,"Private practice, Chicago, Illinois, 1981-1982, 1984-1999<BR>Law clerk, Hon. Prentice Marshall, U.S. District Court, Northern District of Illinois, 1982-1984<BR><BR>Nominated to U.S. District Court for the Northern District of Illinois, September 16, 1998; no Senate vote",
1260,Kennerly,Thomas,Martin, ,1,24,1874,Lee County,TX,7,29,1962,Houston,TX,M,White,1260,"U. S. District Court, Southern District of Texas",USDC,Herbert Hoover,Republican,,,01/24/1931, ,,"Hutcheson, Jr.",Joseph C., ,01/24/1931, ,Reported With Recommendation,02/02/1931, ,Yes, ,02/04/1931,02/07/1931,,,,,08/29/1954,07/29/1962,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law, ,1893,,,,,,,,,,,,,"Private practice, Giddings, Texas, 1893-1897<BR>Private practice, Houston, Texas, 1897-1931<BR>Referee in bankruptcy, Southern District of Texas, 1903-1906<BR>Special judge, Harris County [Texas] District Court, 1918<BR>",
1261,Kent,Samuel,B., ,,,1949,Denver,CO, , , , , ,M,White,1261,"U. S. District Court, Southern District of Texas",USDC,George H.W. Bush,Republican,,,08/03/1990,Well Qualified,,Gibson,Hugh, ,08/03/1990, ,Reported With Recommendation,09/27/1990, ,Yes, ,09/28/1990,10/01/1990,,,,,,06/30/2009,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Texas,B.A.,1971,University of Texas School of Law,J.D.,1975,,,,,,,,,,"Private practice, Galveston, Texas, 1975-1990<BR><BR>Impeached by the U.S. House of Representatives, June 19, 2009.",
1262,Kent,W.,Wallace, ,5,1,1916,Galesburg,MI,5,28,1973, , ,M,White,1262,"U. S. District Court, Western District of Michigan",USDC,Dwight D. Eisenhower,Republican,,,05/10/1954,Well Qualified,,new, ,68 Stat. 8,05/10/1954, ,Reported With Recommendation,06/07/1954, ,Yes, ,06/08/1954,06/10/1954,1961,1971,,,,01/06/1971,Appointment to Another Judicial Position,1262,U. S. Court of Appeals for the Sixth Circuit,USCA,Richard M. Nixon,Republican,,,12/08/1970,Well Qualified,,Combs,Bertram Thomas, ,12/08/1970, ,Reported With Recommendation,12/16/1970, ,Yes, ,12/16/1970,12/18/1970,,,,,,05/28/1973,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western State Teachers College (now Western Michigan University),B.A.,1937,University of Michigan Law School,J.D.,1940,,,,,,,,,,"Assistant prosecutor/friend of the court, Kalamazoo County, Michigan, 1941-1944<BR>Prosecutor, Kalamazoo County, Michigan, 1945-1946<BR>Private practice, Kalamazoo County, Michigan, 1944-1954",
1263,Kenyon,David,Vreeland, ,9,10,1930,San Marino,CA,3,31,2015, , ,M,White,1263,"U. S. District Court, Central District of California",USDC,Jimmy Carter,Democratic,,,06/20/1980,Qualified,,"Stephens, Jr.",Albert Lee, ,06/20/1980, ,Reported With Recommendation,09/17/1980, ,Yes, ,09/29/1980,09/30/1980,,,,,10/27/1995,07/31/1997,Retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Berkeley",B.A.,1952,University of Southern California Law School,J.D.,1957,,,,,,,,,,"U.S. Marine Corps infantry officer, 1953-1954<BR>Law clerk, Hon. Ernest A. Tolin, U.S. District Court, Central District of California, 1957-1958<BR>Private practice, Los Angeles, California, 1958-1959, 1961-1971<BR>House counsel, Metro-Goldwyn-Mayer, 1959-1960<BR>House counsel, National Theatres and Television, Inc., 1960-1961<BR>Judge, Los Angeles [California] Municipal Court, 1971-1972<BR>Judge, Superior Court of California, County of Los Angeles, 1972-1980<BR>",
1264,Kenyon,William,Squire, ,6,10,1869,Elyria,OH,9,9,1933,Sebasco Estates,ME,M,White,1264,U. S. Court of Appeals for the Eighth Circuit,USCA,Warren G. Harding,Republican,,,01/31/1922, ,,Smith,Walter Inglewood, ,, , ,, ,Yes, ,01/31/1922,01/31/1922,,,,,,09/09/1933,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grinnell College, , ,University of Iowa, , ,Read law, ,1891,,,,,,,"Private practice, Fort Dodge, Iowa, 1891-1911<BR>Prosecutor, Webster County, Iowa, 1892-1896<BR>Private practice, Webster County, Iowa, 1897-1900, 1902-1904<BR>Judge, Iowa District Court, Eleventh Judicial District, 1900-1902<BR>General counsel, Illinois Central Railroad, 1904-1907<BR>Assistant to the Attorney General of the United States, 1910-1911<BR>U.S. senator from Iowa, 1911-1922",
1265,Kern,Terence,C., ,,,1944,Clinton,OK, , , , , ,M,White,1265,"U. S. District Court, Northern District of Oklahoma",USDC,William J. Clinton,Democratic,,,03/09/1994,Qualified,,new, ,104 Stat. 5089,03/09/1994, ,Reported With Recommendation,05/25/1994, ,Yes, ,06/08/1994,06/09/1994,1996,2003,,,01/04/2010,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma State University,B.S.,1966,University of Oklahoma College of Law,J.D.,1969,University of Virginia School of Law,"LL.M., judicial process",2004,,,,,,,"U.S. Army Reserve, 1969-1975<BR>General attorney, Division of Compliance, Bureau of Deceptive Practices, Federal Trade Commission, 1969-1970<BR>Private practice, Ardmore, Oklahoma, 1970-1994",
1266,Kerner,Otto, ,Sr.,2,22,1884,Chicago,IL,12,13,1952, , ,M,White,1266,U. S. Court of Appeals for the Seventh Circuit,USCA,Franklin D. Roosevelt,Democratic,,,01/05/1939, ,11/21/1938,new, ,52 Stat. 584,01/05/1939, ,Reported With Recommendation,01/30/1939, ,Yes, ,02/01/1939,02/09/1939,,,,,,12/13/1952,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Forest University,LL.B.,1905,,,,,,,,,,,,,"Private practice, Chicago, Illinois, 1905-1915<BR>Master in chancery, Illinois Circuit Court, Cook County, 1915-1927<BR>Judge, Illinois Circuit Court, Cook County, 1927-1931<BR>Judge, Illinois Appellate Court, First District, 1931-1932<BR>Attorney general, State of Illinois, 1932-1938<BR>",
1267,Kerner,Otto, ,Jr.,8,15,1908,Chicago,IL,5,9,1976,Chicago,IL,M,White,1267,U. S. Court of Appeals for the Seventh Circuit,USCA,Lyndon B. Johnson,Democratic,,,03/11/1968,Well Qualified,,Knoch,Winfred George, ,03/11/1968, ,Reported With Recommendation,04/10/1968, ,Yes, ,04/11/1968,04/22/1968,,,,,,07/22/1974,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown University,A.B.,1930,Northwestern University School of Law,J.D.,1934,,,,,,,,,,"Private practice, Chicago, Illinois, 1935-1947<BR>U.S. attorney for the Northern District of Illinois, 1947-1954<BR>Judge, Illinois Circuit Court, Cook County, 1954-1961<BR>Governor, Illinois, 1961-1968<BR>Consultant, Special Services Center, Lewis University, 1975-1976<BR>",
1268,Kerr,Ewing,Thomas, ,1,21,1900,Bowie,TX,7,1,1992, , ,M,White,1268,"U. S. District Court, District of Wyoming",USDC,Dwight D. Eisenhower,Republican,,,01/12/1956, ,10/22/1955,Kennedy,T. Blake, ,01/12/1956, ,Reported With Recommendation,02/27/1956, ,Yes, ,03/01/1956,03/02/1956,,,,,09/26/1975,07/01/1992,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Oklahoma,B.A.,1923,Central State Teachers College (now University of Central Oklahoma),B.S.,1923,University of Colorado, , ,Read law, ,1927,,,,"Private practice, Cheyenne, Wyoming, 1927-1929<BR>Assistant U.S. attorney, District of Wyoming, 1930-1933<BR>Attorney general, State of Wyoming, 1939-1943<BR>Attorney, Wyoming Senate, 1943<BR>U.S. Army, 1943-1946",
1269,Kerrigan,Frank,Henry, ,9,17,1868,Contra Costa County,CA,2,9,1935, , ,M,White,1269,"U. S. District Court, Northern District of California",USDC,Calvin Coolidge,Republican,,,01/21/1924, ,,Van Fleet,William C., ,01/21/1924, ,Reported Without Recommendation,01/28/1924, ,Yes, ,01/28/1924,01/28/1924,,,,,,02/09/1935,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law, ,1889,,,,,,,,,,,,,"Private practice, California, 1890-1900<BR>Justice of the peace, San Francisco, California, 1894-1900<BR>Judge, Superior Court of California, 1900-1906<BR>Associate justice, California Court of Appeal, 1906-1922<BR>Justice, Supreme Court of California, 1923-1924",
1270,Kessler,Gladys, , ,,,1938,New York,NY, , , , , ,F,White,1270,U. S. District Court for the District of Columbia,USDC,William J. Clinton,Democratic,,,03/22/1994,Well Qualified,,Boudin,Michael J., ,03/22/1994, ,Reported With Recommendation,06/14/1994, ,Yes, ,06/15/1994,06/16/1994,,,,,01/22/2007,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,B.A.,1959,Harvard Law School,LL.B.,1962,,,,,,,,,,"Appellate attorney, National Labor Relations Board, 1962-1964<BR>Legislative assistant, U.S. Sen. Harrison A. Williams, New Jersey, 1964-1966<BR>Legislative assistant, U.S. Rep. Jonathan Bingham, New York, 1966-1968<BR>Special assistant, director of Office of Staff Relations, New York City Board of Education, 1968-1969<BR>Private practice, Washington, D.C., 1969-1977<BR>Associate judge, Superior Court of the District of Columbia, 1977-1994<BR>",
1271,Ketcham,Winthrop,Welles, ,6,29,1820,Wilkes-Barre,PA,12,6,1879,Pittsburgh,PA,M,White,1271,"U. S. District Court, Western District of Pennsylvania",USDC,Ulysses Grant,Republican,,,06/07/1876, ,,McCandless,Wilson, ,06/07/1876, ,Reported With Recommendation,06/26/1876, ,Yes, ,06/26/1876,06/26/1876,,,,,,12/06/1879,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law, ,1850,,,,,,,,,,,,,"Teacher, Girard College, Philadelphia, Pennsylvania, 1848-1849<BR>Private practice, Wilkes-Barre, Pennsylvania, 1850-1855, 1861-1863, 1867-1873<BR>Prothonotary, Luzerne County, Pennsylvania, 1855-1858<BR>State representative, Pennsylvania, 1858<BR>State senator, Pennsylvania, 1859-1861<BR>Solicitor, U.S. Court of Claims, 1864-1866<BR>U.S. representative from Pennsylvania, 1873-1876",
3593,Ketchmark,Roseann,Ambrosia, ,,,1963,Lindsay,OK, , , , , ,F,White,3593,"U. S. District Court, Western District of Missouri",USDC,Barack Obama,Democratic,,,01/07/2015,Qualified,,Fenner,Gary A., ,01/07/2015, ,Reported With Recommendation,04/23/2015,03/11/2015,No,96/0,09/08/2015,09/14/2015,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Oklahoma,B.S.,1986,University of Kansas School of Law,J.D.,1990,,,,,,,,,,"Registered nurse, Lindsay, Oklahoma, and Kansas City, Missouri, 1986-1990<BR>Assistant prosecutor, Jackson County, Missouri, 1990-1995<BR>First assistant prosecutor, Platte County, Missouri, 1995-2001<BR>Assistant U.S. attorney, Western District of Missouri, 2001-2015; first assistant, 2001-2006, 2009-2010; executive assistant, 2006-2007, 2010<BR><BR>Former names: Roseann Ambrosia Smith, Roseann Ambrosia Geffre, Roseann A.G. Smith, Roseann A.G. Ketchmark<BR><BR>Nominated to U.S. District Court for the Western District of Missouri, November 20, 2014; no Senate vote",
3179,Kethledge,Raymond,M., ,,,1966,Summit,NJ, , , , , ,M,White,3179,U. S. Court of Appeals for the Sixth Circuit,USCA,George W. Bush,Republican,,,03/19/2007,Well Qualified,,Ryan,James L., ,03/19/2007, ,Reported With Recommendation,06/12/2008,5/7/2008,Yes, ,06/24/2008,07/07/2008,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan,B.A.,1989,University of Michigan Law School,J.D.,1993,,,,,,,,,,"Law clerk, Hon. Ralph B. Guy, Jr., U.S. Court of Appeals for the Sixth Circuit, 1993-1994<br>Private practice, Michigan, 1994, 1998-2001, 2002-2008<br>Judiciary counsel, U.S. Sen. Spencer Abraham, Michigan, 1995-1997<br>Law clerk, Hon. Anthony Kennedy, Supreme Court of the United States, 1997-1998<br>Counsel, Ford Motor Company, 2001-2002<BR><BR>Nominated to U.S. Court of Appeals for the Sixth Circuit, June 28, 2006; no Senate vote",
1272,Key,David,McKendree, ,1,27,1824,Greene County,TN,2,3,1900,Chattanooga,TN,M,White,1272,"U. S. District Court, Eastern District of Tennessee",USDC,Rutherford B. Hayes,Republican,,,05/19/1880, ,,Trigg,Connally F., ,05/21/1880, ,Reported With Recommendation,05/27/1880, ,Yes, ,05/27/1880,05/27/1880,,,,,,01/21/1895,Retirement,1272,"U. S. District Court, Middle District of Tennessee",USDC,Rutherford B. Hayes,Republican,,,05/19/1880, ,,Trigg,Connally F., ,05/21/1880, ,Reported With Recommendation,05/27/1880, ,Yes, ,05/27/1880,05/27/1880,,,,,,01/21/1895,Retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiwassee College, ,1850,East Tennessee University (now University of Tennessee),A.M., ,Read law, ,1850,,,,,,,"Private practice, Madisonville, Tennessee, 1850-1852<BR>Private practice, Kingston, Tennessee, 1852-1853<BR>Private practice, Chattanooga, Tennessee, 1853-1861, 1865-1880<BR>Confederate Army, 1861-1865<BR>Chancellor, Tennessee Chancery Court, Third Judicial District, 1870-1875<BR>U.S. senator from Tennessee, 1875-1877<BR>Postmaster general of the United States, 1877-1880",
1273,Key,Philip,Barton, ,4,12,1757,near Charlestown,MD,7,28,1815,Georgetown,DC,M,White,1273,U. S. Circuit Court for the Fourth Circuit,USCC (1801),John Adams,Federalist,,,02/18/1801, ,,new, ,2 Stat. 89,, , ,, ,No,20/9,02/20/1801,02/20/1801,1801,1802,,,,07/01/1802,Abolition of Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middle Temple, London, England", ,1784,Read law, ,1785,,,,,,,,,,"Fought with the British Army in the Revolutionary War, 1777-1781<BR>Private practice, Leonardtown, Maryland, 1787-1790<BR>Private practice, Annapolis, Maryland, 1790-1794, 1799-1800<BR>State delegate, Maryland, 1794-1799<BR>Private practice, Montgomery County, Maryland, 1802-1807<BR>Counsel, Hon. Samuel Chase, Supreme Court of the United States, during Senate impeachment trial, 1805<BR>U.S. representative from Maryland, 1807-1813<BR>Private practice, Georgetown, D.C., 1813-1815",
